ligne_source,credit_id,client_id,agence_id,type_credit,date_octroi,montant_initial,taux_annuel,duree_mois,mensualite_theorique,score_risque_octroi,statut_credit,date_fin_prevue
238,CR000238,C004945,A021,Prêt immobilier,2021-07-04,278968.94,3.037,300,1328.22,78,En cours,2046-07-04
239,CR000239,C004150,A020,Prêt automobile,2021-02-03,11256.57,6.875,48,268.9,30,Terminé,2025-02-03
240,CR000240,C000679,A021,Prêt automobile,2021-09-24,36547.66,4.435,36,1086.12,67,Terminé,2024-09-24
241,CR000241,C005377,A004,Prêt personnel,2025-09-06,10392.55,10.504,12,916.11,65,En cours,2026-09-06
242,CR000242,C004742,A020,Prêt immobilier,2025-09-23,45000.0,4.359,180,341.0,57,En cours,2040-09-23
243,CR000243,C005042,A001,Prêt immobilier,2025-06-14,174366.06,3.0,240,967.07,40,En cours,2045-06-14
244,CR000244,C001693,A025,Prêt immobilier,2021-12-22,134259.78,4.27,300,728.81,41,En cours,2046-12-22
245,CR000245,C004009,A007,Prêt immobilier,2021-09-19,196284.99,3.753,300,1009.54,73,En cours,2046-09-19
246,CR000246,C005495,A012,Prêt personnel,2025-06-17,17102.14,9.116,48,426.53,49,En cours,2029-06-17
247,CR000247,C001887,A020,Prêt immobilier,2024-07-05,90981.52,2.432,180,603.77,58,En cours,2039-07-05
248,CR000248,C005061,A020,Prêt automobile,2022-08-31,29927.31,5.457,48,695.42,85,En cours,2026-08-31
249,CR000249,C003063,A009,Prêt automobile,2022-05-30,23518.7,7.321,72,404.6,60,En cours,2028-05-30
250,CR000250,C000544,A014,Prêt automobile,2022-04-08,34645.1,6.915,36,1068.39,29,Terminé,2025-04-08
251,CR000251,C003742,A025,Prêt personnel,2025-08-18,8848.81,6.134,36,269.74,47,En cours,2028-08-18
252,CR000252,C000035,A023,Prêt automobile,2021-11-27,26853.67,7.133,36,830.8,44,Terminé,2024-11-27
253,CR000253,C001365,A008,Prêt automobile,2024-06-21,13949.72,7.243,36,432.28,99,En cours,2027-06-21
254,CR000254,C001563,A006,Prêt automobile,2023-11-09,30225.13,3.963,48,681.95,42,En cours,2027-11-09
255,CR000255,C005862,A012,PRÊT IMMOBILIER,2021-04-22,236094.42,4.552,180,1812.41,70,En cours,2036-04-22
256,CR000256,C004624,A018,Prêt automobile,2023-05-22,30373.31,5.773,72,500.12,89,En cours,2029-05-22
257,CR000257,C003369,A022,Prêt automobile,2021-06-21,33180.2,4.833,48,761.61,58,Terminé,2025-06-21
258,CR000258,C001098,A013,Prêt personnel,2021-06-10,1500.0,8.639,36,47.45,32,Terminé,2024-06-10
259,CR000259,C002637,A006,Prêt personnel,2023-01-02,1500.0,9.142,48,37.43,67,En cours,2027-01-02
260,CR000260,C002122,A001,Prêt immobilier,2023-01-23,184442.57,4.102,300,984.0,29,En cours,2048-01-23
261,CR000261,C002735,A008,Prêt automobile,2023-12-02,27076.55,7.251,36,839.16,45,en cours,2026-12-02
262,CR000262,C002446,A015,Prêt immobilier,2025-07-07,177592.55,1.872,300,741.71,64,En cours,2050-07-07
263,CR000263,C004915,A019,Prêt automobile,2025-12-09,15361.59,4.07,60,283.39,45,En cours,2030-12-09
264,CR000264,C003673,A025,Prêt immobilier,2022-07-02,178507.18,3.44,180,1270.84,80,En cours,2037-07-02
265,CR000265,C004357,A001,Prêt automobile,2022-06-11,25402.24,3.326,60,460.13,48,En cours,2027-06-11
266,CR000266,C004541,A012,Prêt personnel,2023-02-18,11494.48,3.804,24,498.14,70,Terminé,2025-02-18
267,CR000267,C003806,A012,Prêt immobilier,2021-09-28,198619.46,3.476,300,991.82,57,En cours,2046-09-28
268,CR000268,C002792,A003,Prêt immobilier,2024-04-27,279426.25,3.627,300,1417.93,74,En cours,2049-04-27
269,CR000269,C005843,A013,Prêt personnel,2025-10-17,25158.36,5.616,48,586.43,42,En cours,2029-10-17
270,CR000270,C004797,A025,Prêt personnel,2023-08-01,16179.58,10.919,24,753.49,47,Terminé,2025-08-01
271,CR000271,C002822,A021,Prêt immobilier,2023-03-17,88169.99,3.306,180,621.95,70,En cours,2038-03-17
272,CR000272,C001883,A018,Prêt personnel,2022-12-08,17715.28,9.887,60,375.42,46,En cours,2027-12-08
273,CR000273,C005597,A008,Prêt personnel,2024-01-14,14205.65,9.311,48,355.61,62,En cours,2028-01-14
274,CR000274,C000914,A006,Prêt immobilier,2025-01-05,242530.72,1.342,300,952.1,80,en cours,2050-01-05
275,CR000275,C001999,A020,Prêt immobilier,2025-11-04,305723.43,4.425,240,1921.77,91,En cours,2045-11-04
276,CR000276,C005063,A024,Prêt automobile,2021-12-31,5000.0,5.528,48,116.35,65,Terminé,2025-12-31
277,CR000277,C001790,A009,Prêt automobile,2024-01-06,26216.62,5.824,60,504.7,50,en cours,2029-01-06
278,CR000278,C004346,A007,Prêt immobilier,2024-12-05,227159.25,2.361,300,1003.29,24,En cours,2049-12-05
279,CR000279,C002016,A020,Prêt personnel,2022-06-17,18079.07,5.098,24,793.95,57,Terminé,2024-06-17
280,CR000280,C004237,A020,Prêt immobilier,2025-07-01,256871.93,2.299,180,1688.59,49,en cours,2040-07-01
281,CR000281,C002077,A012,Prêt automobile,2025-01-23,40230.34,3.612,48,901.39,37,En cours,2029-01-23
282,CR000282,C001658,A015,Prêt automobile,2023-09-28,25876.05,5.349,36,779.59,40,En cours,2026-09-28
283,CR000283,C002786,A010,Prêt immobilier,2026-03-28,53930.71,3.198,180,377.59,43,En cours,2041-03-28
284,CR000284,C004216,A011,Prêt personnel,2021-05-02,17854.1,9.3,48,446.85,65,Terminé,2025-05-02
285,CR000285,C001518,A008,Prêt personnel,2021-05-31,8632.23,10.487,12,760.87,38,en cours,2022-05-31
286,CR000286,C004296,A012,Prêt immobilier,2023-12-27,224859.26,1.226,300,870.59,83,En cours,2048-12-27
287,CR000287,C005644,A015,Prêt immobilier,2021-08-20,224280.9,1.598,240,1092.41,71,En cours,2041-08-20
288,CR000288,C004098,A018,Prêt automobile,2022-05-12,11472.17,5.838,72,189.25,76,En cours,2028-05-12
289,CR000289,C004840,A003,PRÊT IMMOBILIER,2021-10-30,271817.51,2.385,240,1425.21,59,En cours,2041-10-30
290,CR000290,C004864,A002,Prêt personnel,2023-07-20,11628.96,11.1,36,381.27,46,En cours,2026-07-20
291,CR000291,C003196,A005,Prêt immobilier,2021-09-04,73114.65,3.251,180,513.8,82,En cours,2036-09-04
292,CR000292,C005964,A003,PRÊT IMMOBILIER,2024-08-19,117377.45,4.377,240,734.81,83,En cours,2044-08-19
293,CR000293,C005137,A023,Prêt personnel,2023-07-12,22008.58,4.597,60,411.28,24,En cours,2028-07-12
294,CR000294,C002532,A022,PRÊT PERSONNEL,2023-03-22,21611.96,8.047,36,677.71,42,Terminé,2026-03-22
295,CR000295,C002098,A006,Prêt immobilier,2021-07-22,227404.25,4.636,300,1281.65,23,En cours,2046-07-22
296,CR000296,C002222,A011,Prêt automobile,2022-10-22,34673.39,3.222,72,530.27,17,En cours,2028-10-22
297,CR000297,C005577,A009,Prêt immobilier,2024-11-19,131040.04,4.581,240,834.73,39,En cours,2044-11-19
298,CR000298,C005831,A007,Prêt immobilier,2021-04-24,134503.23,3.57,180,966.16,91,En cours,2036-04-24
299,CR000299,C005192,A005,Prêt immobilier,2024-11-30,285251.8,3.249,240,1617.85,79,En cours,2044-11-30
300,CR000300,C003222,A008,Prêt personnel,2021-04-25,9237.98,8.589,60,189.93,70,Terminé,2026-04-25
301,CR000301,C002051,A021,Prêt immobilier,2021-04-05,86047.79,4.464,180,656.66,6,En cours,2036-04-05
302,CR000302,C005822,A018,Prêt automobile,2022-08-29,25784.43,2.852,48,569.03,16,En cours,2026-08-29
303,CR000303,C003254,A008,Prêt immobilier,2025-12-26,129282.52,1.252,180,788.19,69,En cours,2040-12-26
304,CR000304,C005370,A017,Prêt personnel,2025-02-08,19353.22,5.847,60,372.78,92,En cours,2030-02-08
305,CR000305,C005359,A017,Prêt immobilier,2021-07-23,178691.66,4.176,240,1099.5,41,En cours,2041-07-23
306,CR000306,C004123,A006,Prêt personnel,2021-06-24,15160.17,5.204,12,1299.24,55,en cours,2022-06-24
307,CR000307,C005204,A005,Prêt personnel,2021-11-22,16265.51,7.032,12,1407.64,65,Terminé,2022-11-22
308,CR000308,C002408,A004,Prêt immobilier,2023-05-10,108654.12,4.464,180,829.19,68,En cours,2038-05-10
309,CR000309,C003404,A013,Prêt immobilier,2025-12-24,207211.32,2.015,180,1334.83,44,En cours,2040-12-24
310,CR000310,C002171,A013,Prêt immobilier,2021-01-25,209740.3,2.959,240,1158.93,40,En cours,2041-01-25
311,CR000311,C002304,A011,Prêt automobile,2024-04-30,5889.55,4.882,60,110.83,47,En cours,2029-04-30
312,CR000312,C000284,A018,PRÊT PERSONNEL,2023-05-21,18915.86,8.712,24,861.67,43,Terminé,2025-05-21
313,CR000313,C001850,A013,Prêt personnel,2024-12-02,1500.0,10.313,12,132.09,2,Terminé,2025-12-02
314,CR000314,C003911,A020,Prêt immobilier,2023-11-04,159022.18,1.696,240,781.8,49,En cours,2043-11-04
315,CR000315,C004399,A011,Prêt automobile,2022-07-26,27314.13,4.682,72,435.87,23,En cours,2028-07-26
316,CR000316,C005784,A014,Prêt personnel,2021-10-18,11084.54,9.604,12,972.47,33,Terminé,2022-10-18
317,CR000317,C000216,A021,Prêt automobile,2021-08-25,34588.95,5.632,36,1046.5,82,Terminé,2024-08-25
318,CR000318,C004780,A020,Prêt automobile,2021-11-01,18638.76,6.83,36,574.07,28,Terminé,2024-11-01
319,CR000319,C003502,A003,PRÊT IMMOBILIER,2022-07-01,191152.17,1.945,240,962.01,79,En cours,2042-07-01
320,CR000320,C002016,A020,Prêt immobilier,2023-02-14,248862.33,4.029,240,1511.88,24,En cours,2043-02-14
321,CR000321,C005635,A011,Prêt automobile,2021-11-17,10410.08,5.138,48,240.39,58,Terminé,2025-11-17
322,CR000322,C001162,A023,PRÊT IMMOBILIER,2023-09-10,185448.35,2.453,300,827.59,59,En cours,2048-09-10
323,CR000323,C005938,A006,Prêt personnel,2023-03-05,3212.84,6.965,36,99.15,78,Terminé,2026-03-05
324,CR000324,C004434,A006,Prêt immobilier,2024-11-29,273862.44,3.132,180,1908.64,95,En cours,2039-11-29
325,CR000325,C005947,A022,Prêt automobile,2023-09-03,35041.82,5.647,72,574.93,56,En cours,2029-09-03
326,CR000326,C004611,A005,Prêt personnel,2023-05-17,13370.23,6.062,24,592.95,46,Terminé,2025-05-17
327,CR000327,C002413,A011,Prêt personnel,2025-08-31,13173.82,6.268,12,1135.45,42,En cours,2026-08-31
328,CR000328,C000402,A018,Prêt personnel,2021-06-01,21321.43,5.538,60,407.64,75,Terminé,2026-06-01
329,CR000329,C001285,A021,Prêt automobile,2025-04-30,21157.02,3.029,60,380.43,64,En cours,2030-04-30
330,CR000330,C005484,A008,Prêt automobile,2021-03-31,30390.54,6.812,72,515.39,62,En cours,2027-03-31
331,CR000331,C004874,A004,Prêt automobile,2026-02-27,28113.23,4.647,72,448.18,69,en cours,2032-02-27
332,CR000332,C003110,A010,Prêt personnel,2022-08-06,1500.0,8.068,36,47.05,41,Terminé,2025-08-06
333,CR000333,C003985,A009,Prêt immobilier,2021-12-11,157934.98,3.106,180,1098.75,28,En cours,2036-12-11
334,CR000334,C003203,A015,Prêt immobilier,2024-07-24,142888.7,1.751,240,706.13,57,En cours,2044-07-24
335,CR000335,C005689,A011,Prêt automobile,2022-09-10,36408.91,3.344,48,811.43,66,En cours,2026-09-10
336,CR000336,C003908,A022,Prêt automobile,2024-12-23,24299.29,3.105,48,538.98,57,En cours,2028-12-23
337,CR000337,C004378,A023,PRÊT AUTOMOBILE,2024-04-16,43887.6,3.474,72,676.17,55,En cours,2030-04-16
338,CR000338,C003102,A010,Prêt immobilier,2021-05-25,258919.65,3.34,300,1274.12,53,En cours,2046-05-25
339,CR000339,C002201,A002,Prêt personnel,2022-06-28,15398.23,5.191,24,676.86,60,Terminé,2024-06-28
340,CR000340,C003712,A024,Prêt immobilier,2023-04-18,281696.94,4.08,240,1718.97,77,En cours,2043-04-18
341,CR000341,C003663,A013,Prêt immobilier,2022-11-19,166647.88,4.725,300,947.67,19,En cours,2047-11-19
342,CR000342,C003155,A012,Prêt immobilier,2022-02-24,182736.06,3.94,300,958.46,70,En cours,2047-02-24
343,CR000343,C001462,A016,Prêt immobilier,2021-05-16,127824.07,1.95,300,538.7,45,En cours,2046-05-16
344,CR000344,C003074,A015,Prêt automobile,2021-02-02,32222.07,2.901,60,577.58,42,Terminé,2026-02-02
345,CR000345,C001340,A016,Prêt automobile,2023-07-02,18230.02,5.897,72,301.24,60,En cours,2029-07-02
346,CR000346,C000352,A020,Prêt immobilier,2022-12-04,219193.94,4.499,180,1676.74,41,En cours,2037-12-04
347,CR000347,C000734,A008,Prêt personnel,2023-01-01,14148.53,7.194,36,438.12,20,Terminé,2026-01-01
348,CR000348,C002086,A021,Prêt automobile,2022-09-16,24749.17,4.212,72,389.6,82,en cours,2028-09-16
349,CR000349,C002335,A020,Prêt automobile,2021-12-29,16990.64,6.718,60,334.18,66,En cours,2026-12-29
350,CR000350,C001261,A014,Prêt immobilier,2021-04-08,192673.7,1.67,240,944.92,64,En cours,2041-04-08
351,CR000351,C002581,A007,Prêt immobilier,2023-09-05,207087.86,3.939,300,1086.14,50,En cours,2048-09-05
352,CR000352,C001652,A009,Prêt personnel,2023-09-28,9367.49,5.732,24,414.04,78,Terminé,2025-09-28
353,CR000353,C005664,A004,Prêt personnel,2021-08-28,17941.24,5.195,12,1537.51,74,Terminé,2022-08-28
354,CR000354,C000264,A010,Prêt automobile,2021-04-12,40441.66,6.083,48,951.31,50,Terminé,2025-04-12
355,CR000355,C002977,A010,Prêt immobilier,2022-06-19,72370.58,4.489,300,401.82,60,En cours,2047-06-19
356,CR000356,C000181,A008,Prêt immobilier,2023-06-19,163378.47,4.55,240,1038.04,79,en cours,2043-06-19
357,CR000357,C005229,A022,Prêt personnel,2024-03-12,12707.47,-10.98,36,415.9,48,En cours,2027-03-12
358,CR000358,C002197,A007,Prêt automobile,2025-09-11,21579.74,3.477,60,392.35,52,En cours,2030-09-11
359,CR000359,C002202,A010,Prêt personnel,2021-03-28,12984.2,4.191,12,1106.73,74,Terminé,2022-03-28
360,CR000360,C000469,A008,Prêt immobilier,2021-05-21,98672.59,4.673,240,633.52,20,En cours,2041-05-21
361,CR000361,C004168,A022,Prêt automobile,2024-10-19,32494.96,6.285,60,632.53,35,En cours,2029-10-19
362,CR000362,C004258,A025,Prêt automobile,2021-10-18,24522.58,4.288,48,556.86,47,Terminé,2025-10-18
363,CR000363,C001013,A015,Prêt immobilier,2023-06-27,115711.26,1.738,180,730.74,58,En cours,2038-06-27
364,CR000364,C004745,A012,Prêt automobile,2023-07-05,21143.12,6.269,72,353.1,57,En cours,2029-07-05
365,CR000365,C001269,A018,PRÊT AUTOMOBILE,2022-06-16,14301.64,4.901,60,269.24,40,En cours,2027-06-16
366,CR000366,C002121,A016,Prêt immobilier,2025-10-21,108764.16,4.608,240,694.48,52,En cours,2045-10-21
367,CR000367,C000306,A025,Prêt immobilier,2025-05-04,202889.1,2.133,180,1318.04,62,En cours,2040-05-04
368,CR000368,C002234,A024,Prêt immobilier,2023-01-16,212092.62,1.362,300,834.57,55,En cours,2048-01-16
369,CR000369,C003744,A005,Prêt immobilier,2021-11-13,81582.61,3.057,300,389.31,53,En cours,2046-11-13
370,CR000370,C005340,A999,Prêt immobilier,2023-09-29,216146.01,3.548,180,1550.33,76,En cours,2038-09-29
371,CR000371,C005636,A011,Prêt immobilier,2024-03-01,135275.79,2.476,240,715.27,68,En cours,2044-03-01
372,CR000372,C005142,A025,Prêt personnel,2024-06-04,2313.78,4.612,24,101.11,47,Terminé,2026-06-04
373,CR000373,C005988,A011,Prêt immobilier,2024-10-14,143601.09,1.802,300,594.95,23,En cours,2049-10-14
374,CR000374,C003467,A999,Prêt personnel,2021-08-01,13009.61,11.281,24,608.05,50,Terminé,2023-08-01
375,CR000375,C003762,A009,Prêt automobile,2023-05-07,31239.76,2.907,36,907.21,47,Terminé,2026-05-07
376,CR000376,C001296,A005,Prêt immobilier,2025-03-24,175507.08,1.88,180,1119.69,51,En cours,2040-03-24
377,CR000377,C004086,A002,Prêt immobilier,2025-07-28,199843.58,1.249,300,775.91,53,En cours,2050-07-28
378,CR000378,C003780,A009,Prêt immobilier,2022-11-27,198168.35,2.411,180,1313.12,48,En cours,2037-11-27
379,CR000379,C002369,A005,Prêt immobilier,2021-11-09,197945.31,3.749,300,1017.57,21,En cours,2046-11-09
380,CR000380,C000183,A999,Prêt automobile,2023-10-13,23601.56,6.266,60,459.21,52,En cours,2028-10-13
381,CR000381,C000863,A016,Prêt automobile,2023-03-29,18255.91,4.486,60,340.23,62,En cours,2028-03-29
382,CR000382,C005594,A016,PRÊT IMMOBILIER,2023-07-23,152735.71,1.38,180,939.87,58,En cours,2038-07-23
383,CR000383,C000580,A007,Prêt personnel,2021-12-15,16608.0,10.756,36,541.81,90,Terminé,2024-12-15
384,CR000384,C002899,A015,Prêt immobilier,2024-05-30,206551.73,2.763,240,1121.19,99,En cours,2044-05-30
385,CR000385,C005835,A022,Prêt automobile,2023-11-21,19182.46,5.74,36,581.31,40,En cours,2026-11-21
386,CR000386,C000427,A024,Prêt immobilier,2022-07-24,164379.67,2.008,180,1058.43,35,En cours,2037-07-24
387,CR000387,C003281,A015,Prêt immobilier,2024-10-28,340682.18,3.292,180,2400.76,81,En cours,2039-10-28
388,CR000388,C000309,A017,Prêt immobilier,2023-03-31,71584.88,2.85,240,391.65,93,En cours,2043-03-31
389,CR000389,C002139,A019,Prêt automobile,2021-11-09,15714.0,3.733,60,287.51,32,En cours,2026-11-09
390,CR000390,C001316,A003,Prêt immobilier,2024-04-14,186955.53,4.387,300,1027.25,76,en cours,2049-04-14
391,CR000391,C002830,A015,Prêt immobilier,2022-04-04,224461.15,4.128,300,1200.68,15,En cours,2047-04-04
392,CR000392,C005014,A011,Prêt personnel,2024-03-28,7585.07,7.41,24,341.01,96,Terminé,2026-03-28
393,CR000393,C005096,A004,Prêt immobilier,2023-04-13,159184.46,1.836,180,1012.42,63,En cours,2038-04-13
394,CR000394,C000796,A024,Prêt immobilier,2024-09-24,122852.94,4.64,180,948.61,42,En cours,2039-09-24
395,CR000395,C005738,A020,Prêt immobilier,2023-07-04,147079.67,1.711,240,724.06,57,En cours,2043-07-04
396,CR000396,C000165,A025,Prêt immobilier,2023-03-06,181884.69,3.51,240,1055.79,68,En cours,2043-03-06
397,CR000397,C005828,A001,Prêt immobilier,2025-05-11,265408.01,3.569,180,1906.35,43,En cours,2040-05-11
398,CR000398,C005851,A019,Prêt personnel,2024-04-03,1500.0,4.721,12,128.22,53,Terminé,2025-04-03
399,CR000399,C004341,A008,Prêt automobile,2021-01-19,15250.43,5.068,36,457.54,72,Terminé,2024-01-19
400,CR000400,C003902,A006,Prêt automobile,2021-12-13,32543.59,4.403,36,966.66,69,Terminé,2024-12-13
401,CR000401,C004630,A024,Prêt immobilier,2021-04-09,236317.47,2.22,300,1027.11,22,En cours,2046-04-09
402,CR000402,C005209,A012,Prêt personnel,2023-05-25,13390.86,8.502,12,1167.96,41,Terminé,2024-05-25
403,CR000403,C003019,A017,Prêt immobilier,2025-10-07,45000.0,4.275,240,279.26,52,En cours,2045-10-07
404,CR000404,C003804,A007,Prêt automobile,2025-01-29,25065.64,4.328,60,465.35,43,En cours,2030-01-29
405,CR000405,C002412,A003,Prêt personnel,2021-08-12,6747.74,9.58,48,169.78,45,Terminé,2025-08-12
406,CR000406,C003782,A004,Prêt automobile,2021-04-16,13147.74,3.224,48,292.32,57,Terminé,2025-04-16
407,CR000407,C004131,A010,Prêt immobilier,2024-12-20,85809.1,3.452,300,427.35,51,En cours,2049-12-20
408,CR000408,C005123,A018,Prêt immobilier,2024-01-03,174933.34,3.539,300,879.44,8,En cours,2049-01-03
409,CR000409,C000692,A004,Prêt automobile,2022-07-03,9161.86,5.667,36,277.34,21,Terminé,2025-07-03
410,CR000410,C002632,A009,PRÊT PERSONNEL,2026-02-02,9072.89,4.716,36,270.77,64,En cours,2029-02-02
411,CR000411,C001459,A011,Prêt immobilier,2021-12-29,220252.69,4.057,180,1635.45,17,En cours,2036-12-29
412,CR000412,C005356,A019,Prêt immobilier,2022-05-08,173374.51,1.23,300,671.59,80,En cours,2047-05-08
413,CR000413,C000743,A006,Prêt immobilier,2022-07-17,234106.44,3.117,180,1629.92,90,En cours,2037-07-17
414,CR000414,C003008,A004,Prêt immobilier,2021-05-18,93991.17,3.101,240,526.03,31,En cours,2041-05-18
415,CR000415,C004617,A021,Prêt automobile,2023-03-30,30522.99,4.845,60,573.84,65,En cours,2028-03-30
416,CR000416,C003120,A004,Prêt personnel,2021-03-16,23964.2,10.67,60,517.1,67,Terminé,2026-03-16
417,CR000417,C004628,A012,Prêt automobile,2023-12-31,32049.57,6.663,72,541.24,87,En cours,2029-12-31
418,CR000418,C002000,A001,Prêt immobilier,2023-04-25,123759.64,2.667,180,834.97,52,En cours,2038-04-25
419,CR000419,C001015,A002,Prêt immobilier,2023-09-14,230803.35,4.062,240,1406.18,41,En cours,2043-09-14
420,CR000420,C003017,A010,Prêt immobilier,2021-07-14,327689.55,3.255,180,2303.33,90,En cours,2036-07-14
421,CR000421,C004253,A025,Prêt personnel,2023-02-09,11932.53,6.421,24,531.12,21,Terminé,2025-02-09
422,CR000422,C004985,A021,Prêt immobilier,2025-12-09,108644.44,1.911,240,545.07,54,En cours,2045-12-09
423,CR000423,C003894,A017,Prêt immobilier,2025-03-19,291299.39,1.997,300,1234.29,67,En cours,2050-03-19
424,CR000424,C003197,A999,Prêt personnel,2023-03-17,10177.56,6.502,60,199.14,59,En cours,2028-03-17
425,CR000425,C001479,A009,Prêt immobilier,2025-01-29,234890.92,3.48,240,1359.86,18,En cours,2045-01-29
426,CR000426,C002767,A014,Prêt automobile,2024-10-11,31110.22,7.332,48,749.78,76,En cours,2028-10-11
427,CR000427,C003407,A020,Prêt personnel,2023-07-16,18924.38,6.664,36,581.43,50,En cours,2026-07-16
428,CR000428,C003387,A015,Prêt immobilier,2021-11-17,259595.44,2.548,300,1170.88,61,En cours,2046-11-17
429,CR000429,C002632,A009,Prêt automobile,2022-06-22,27713.52,3.868,60,508.73,64,En cours,2027-06-22
430,CR000430,C003050,A003,Prêt immobilier,2022-07-30,192472.91,1.468,300,766.89,65,En cours,2047-07-30
431,CR000431,C004402,A002,Prêt personnel,2026-01-01,16572.67,4.254,36,491.17,55,En cours,2029-01-01
432,CR000432,C004487,A008,Prêt automobile,2025-03-12,22001.54,3.91,48,495.89,60,en cours,2029-03-12
433,CR000433,C003377,A002,Prêt automobile,2023-08-06,15945.26,5.956,36,484.77,25,En cours,2026-08-06
434,CR000434,C000665,A003,Prêt personnel,2021-06-27,20803.69,9.992,24,959.91,52,Terminé,2023-06-27
435,CR000435,C002137,A016,Prêt immobilier,2021-04-09,205657.8,2.918,300,966.54,31,En cours,2046-04-09
436,CR000436,C001390,A022,Prêt personnel,2026-01-02,11883.48,4.637,24,519.41,73,En cours,2028-01-02
437,CR000437,C003860,A013,Prêt immobilier,2025-03-05,63726.96,2.638,240,342.0,54,En cours,2045-03-05
438,CR000438,C000670,A021,Prêt immobilier,2021-03-07,140697.99,4.789,240,912.21,42,En cours,2041-03-07
439,CR000439,C002556,A019,Prêt immobilier,2025-02-10,149568.75,1.752,180,945.53,30,En cours,2040-02-10
440,CR000440,C005656,A016,Prêt automobile,2021-03-14,5000.0,7.438,72,86.3,33,En cours,2027-03-14
441,CR000441,C000175,A015,Prêt personnel,2023-07-06,12794.54,7.527,12,1110.18,80,Terminé,2024-07-06
442,CR000442,C004994,A003,Prêt immobilier,2022-12-17,123016.52,1.89,180,785.43,86,En cours,2037-12-17
443,CR000443,C004521,A012,Prêt personnel,2024-02-05,12990.87,9.067,48,323.69,66,En cours,2028-02-05
444,CR000444,C000506,A014,Prêt personnel,2024-09-17,12572.52,3.712,24,544.35,93,En cours,2026-09-17
445,CR000445,C005078,A010,Prêt immobilier,2024-07-20,76515.58,1.99,300,323.96,24,En cours,2049-07-20
446,CR000446,C002711,A004,Prêt automobile,2022-10-20,19226.84,4.917,36,575.53,65,Terminé,2025-10-20
447,CR000447,C004628,A012,Prêt personnel,2023-02-24,5275.27,6.602,24,235.24,99,Terminé,2025-02-24
448,CR000448,C001566,A006,Prêt immobilier,2025-10-28,252619.3,3.704,300,1292.44,51,en cours,2050-10-28
449,CR000449,C003538,A015,Prêt immobilier,2024-11-03,130890.18,3.786,300,675.53,21,En cours,2049-11-03
450,CR000450,C004329,A007,Prêt immobilier,2025-07-16,230069.74,4.141,180,1718.1,74,En cours,2040-07-16
451,CR000451,C005476,A017,Prêt personnel,2024-04-16,6323.97,10.813,12,558.37,24,Terminé,2025-04-16
452,CR000452,C002350,A022,Prêt immobilier,2021-12-17,188685.78,2.229,180,1234.17,65,En cours,2036-12-17
453,CR000453,C005086,A017,Prêt personnel,2025-10-04,11915.93,7.83,36,372.47,65,En cours,2028-10-04
454,CR000454,C004686,A003,Prêt personnel,2021-10-18,11731.29,4.154,24,510.23,39,Terminé,2023-10-18
455,CR000455,C005007,A005,Prêt automobile,2021-05-08,18064.86,3.853,72,281.42,27,En cours,2027-05-08
456,CR000456,C004761,A001,Prêt personnel,2023-10-28,15396.37,9.347,48,385.68,67,En cours,2027-10-28
457,CR000457,C003535,A004,Prêt personnel,2023-01-01,6361.32,4.876,48,146.14,99,En cours,2027-01-01
458,CR000458,C002139,A019,Prêt immobilier,2022-03-19,200807.81,3.042,180,1390.82,17,En cours,2037-03-19
459,CR000459,C001900,A011,Prêt immobilier,2025-08-18,226162.74,3.12,240,1267.98,71,En cours,2045-08-18
460,CR000460,C001864,A016,Prêt automobile,2022-10-09,26608.13,3.516,48,595.04,57,En cours,2026-10-09
461,CR000461,C001487,A016,Prêt automobile,2024-07-18,27458.89,7.113,48,658.98,37,En cours,2028-07-18
462,CR000462,C002495,A002,Prêt personnel,2025-09-24,8980.54,9.555,24,412.56,72,En cours,2027-09-24
463,CR000463,C005682,A005,Prêt personnel,2025-06-20,14932.01,5.506,48,347.31,49,En cours,2029-06-20
464,CR000464,C003059,A019,Prêt automobile,2023-06-29,5000.0,6.704,48,119.05,49,En cours,2027-06-29
465,CR000465,C003399,A019,Prêt personnel,2023-07-28,17088.95,8.35,48,420.0,84,En cours,2027-07-28
466,CR000466,C000981,A017,Prêt immobilier,2023-11-20,223566.16,4.59,240,1425.33,75,En cours,2043-11-20
467,CR000467,C002340,A013,Prêt immobilier,2022-02-14,139006.86,-2.208,180,907.87,56,En cours,2037-02-14
468,CR000468,C005116,A015,PRÊT AUTOMOBILE,2025-04-04,15161.46,4.29,36,449.59,38,En cours,2028-04-04
469,CR000469,C001712,A004,Prêt personnel,2024-12-02,14128.06,6.985,48,338.21,83,En cours,2028-12-02
470,CR000470,C003161,A006,Prêt automobile,2021-01-17,24926.1,4.19,72,392.13,27,En cours,2027-01-17
471,CR000471,C005419,A013,Prêt immobilier,2021-12-06,366489.5,2.439,180,2433.23,37,En cours,2036-12-06
472,CR000472,C000984,A025,Prêt automobile,2024-11-27,28567.83,5.322,60,543.34,54,En cours,2029-11-27
473,CR000473,C005499,A016,Prêt personnel,2026-03-04,6136.85,5.577,60,117.44,38,En cours,2031-03-04
474,CR000474,C001374,A023,Prêt immobilier,2024-01-16,234958.03,3.845,300,1220.15,60,En cours,2049-01-16
475,CR000475,C004495,A015,Prêt immobilier,2026-02-23,73383.82,2.457,240,387.34,39,En cours,2046-02-23
476,CR000476,C000091,A024,Prêt automobile,2021-04-14,39141.3,4.816,36,1169.87,84,Terminé,2024-04-14
