ligne_source,transaction_id,client_id,date_transaction,type_transaction,montant,sens,produit_id,agence_id,canal,statut,frais,devise
3567,T000003567,C003934,2023-03-01 17:44:55,Virement émis,-38.68,Débit,P007,A999,Application mobile,Validée,0.0,EUR
3568,T000003568,C005933,2025-11-20 10:37:19,Retrait DAB,-32.65,Débit,P004,A013,Web,Validée,0.0,EUR
3569,T000003569,C003541,2023-07-13 21:50:25,Frais bancaires,-20.0,Débit,P010,A020,Application mobile,Validée,20.0,EUR
3570,T000003570,C003536,2026-01-06 19:49:31,Paiement carte,-115.14,Débit,P001,A014,Agence,Validée,0.0,EUR
3571,T000003571,C000328,2025-01-04 13:29:48,Virement reçu,104.59,Crédit,P007,A020,TPE,Validée,0.0,EUR
3572,T000003572,C001534,2023-04-05 12:00:10,Paiement carte,-72.32,Débit,P008,A016,TPE,Validée,0.0,EUR
3573,T000003573,C003983,2026-01-06 16:04:48,Virement émis,-117.45,Débit,P002,A002,Web,Validée,0.0,EUR
3574,T000003574,C000556,2025-01-01 17:04:03,Prélèvement,-84.57,Débit,P004,A009,Application mobile,Validée,0.0,EUR
3575,T000003575,C002792,2023-09-17 23:03:35,Paiement carte,-116.38,Débit,P006,A003,Agence,Validée,0.0,EUR
3576,T000003576,C003860,2025-06-01 20:09:04,Prélèvement,-139.33,Débit,P002,A013,Application mobile,Validée,0.0,EUR
3577,T000003577,C004788,2025-04-17 02:38:38,Paiement carte,-42.04,Débit,P001,A020,Web,En attente,0.0,EUR
3578,T000003578,C002521,2023-03-24 14:35:40,Frais bancaires,-2.5,Débit,P001,A001,Agence,Validée,2.5,EUR
3579,T000003579,C005858,2024-11-21 04:24:23,Paiement carte,-65.8,Débit,P006,A021,Application mobile,Validée,0.0,EUR
3580,T000003580,C005950,2025-08-18 03:08:33,Paiement carte,-63.7,Débit,P004,A022,Application mobile,Validée,0.0,EUR
3581,T000003581,C000642,2025-10-10 16:06:34,Prélèvement,-49.57,Débit,P002,A008,Application mobile,Validée,0.0,EUR
3582,T000003582,C000162,2025-07-09 01:46:32,Virement émis,-59.15,Débit,P003,A019,Application mobile,Validée,0.0,EUR
3583,T000003583,C004464,2023-11-10 09:00:53,Paiement carte,-49.63,Débit,P001,A023,Application mobile,Validée,0.0,EUR
3584,T000003584,C004795,2025-02-20 23:56:53,Virement reçu,186.27,Crédit,P007,A006,TPE,Validée,0.0,EUR
3585,T000003585,C000144,2025-10-06 20:23:14,Prélèvement,-134.51,Débit,P002,A024,Application mobile,Validée,0.0,EUR
3586,T000003586,C003112,2025-06-13 19:54:46,Paiement carte,-248.83,Débit,P003,A020,Application mobile,Validée,0.0,EUR
3587,T000003587,C002485,2024-03-26 08:09:46,Paiement carte,-11.97,Débit,P001,A015,Application mobile,Validée,0.0,EUR
3588,T000003588,C002321,2026-06-08 14:30:12,Paiement carte,-166.11,Débit,P002,A002,Application mobile,Validée,0.0,EUR
3589,T000003589,C004581,2024-07-05 20:32:34,Retrait DAB,-20.49,Débit,P007,A012,Application mobile,Validée,0.0,EUR
3590,T000003590,C002153,2025-02-17 23:01:20,Virement reçu,83.36,Crédit,P002,A018,Agence,Validée,0.0,EUR
3591,T000003591,C004914,2026-03-01 13:18:43,Paiement carte,-61.39,Débit,P001,A015,Web,Validée,0.0,EUR
3592,T000003592,C002805,2024-04-26 04:02:43,Remboursement,42.56,Crédit,P001,A009,Application mobile,Validée,0.0,EUR
3593,T000003593,C000107,2024-07-04 06:36:51,Virement reçu,427.97,Crédit,P001,A006,TPE,Validée,0.0,EUR
3594,T000003594,C001720,2025-06-27 15:54:23,Paiement carte,-45.71,Débit,P010,A011,TPE,Validée,0.0,EUR
3595,T000003595,C004062,2026-05-24 14:19:18,Paiement carte,-14.77,Débit,P003,A018,Web,validee,0.0,EUR
3596,T000003596,C005386,2024-12-04 13:34:35,Virement émis,-31.74,Débit,P001,A018,TPE,Validée,0.0,EUR
3597,T000003597,C003240,2024-09-22 21:35:24,Paiement carte,-23.41,Débit,P002,A006,Application mobile,Validée,0.0,EUR
3598,T000003598,C001706,2023-04-17 22:56:25,Paiement carte,-206.97,Débit,P002,A012,Application mobile,Validée,0.0,EUR
3599,T000003599,C005937,2026-01-28 14:01:23,Dépôt,397.17,Crédit,P002,A023,TPE,Validée,0.0,EUR
3600,T000003600,C001572,2025-06-26 14:57:52,Prélèvement,-59.62,Débit,P007,A001,Application mobile,Validée,0.0,EUR
3601,T000003601,C005625,2025-05-23 09:41:40,Retrait DAB,-36.21,Débit,P004,A019,TPE,Validée,0.0,EUR
3602,T000003602,C003011,2026-06-07 13:19:47,Frais bancaires,-5.0,Débit,P001,A021,Web,validee,5.0,EUR
3603,T000003603,C004294,2025-03-22 09:40:37,Prélèvement,-111.52,Débit,P001,A009,DAB,Validée,0.0,EUR
3604,T000003604,C002482,2024-10-20 18:08:15,Prélèvement,-463.55,Débit,P007,A015,Web,Validée,0.0,EUR
3605,T000003605,C004925,2023-01-15 07:19:23,Virement émis,-12.41,Débit,P001,A019,Agence,Validée,0.0,EUR
3606,T000003606,C004656,2025-03-10 08:39:17,Prélèvement,-63.69,Débit,P002,A019,DAB,Validée,0.0,EUR
3607,T000003607,C004381,2026-04-17 15:48:26,Retrait DAB,-109.26,Débit,P004,A016,Application mobile,Validée,0.0,EUR
3608,T000003608,C003653,2025-05-06 21:12:17,Prélèvement,-29.13,Débit,P002,A017,Application mobile,Validée,0.0,EUR
3609,T000003609,C003419,2024-05-10 00:40:35,Paiement carte,-22.13,Débit,P001,A003,Agence,Validée,0.0,EUR
3610,T000003610,C001837,2024-04-14 15:14:52,Virement reçu,105.11,Crédit,P006,A015,DAB,Validée,0.0,EUR
3611,T000003611,C001513,2023-11-04 19:12:21,Paiement carte,-125.28,Débit,P005,A013,Application mobile,Validée,0.0,EUR
3612,T000003612,C004807,2024-07-30 19:04:06,Virement émis,-346.24,Débit,P010,A004,Application mobile,Validée,0.0,EUR
3613,T000003613,C004662,2023-06-21 02:15:04,Retrait DAB,-131.0,Débit,P002,A021,Agence,Validée,0.0,EUR
3614,T000003614,C004114,2025-02-20 19:58:37,Virement reçu,354.07,Crédit,P009,A006,Application mobile,Validée,0.0,EUR
3615,T000003615,C003670,2024-12-21 01:21:32,Virement émis,-68.16,Débit,,A019,Agence,Validée,0.0,EUR
3616,T000003616,C004015,2023-12-13 23:27:31,Paiement carte,-27.24,Débit,P002,A006,TPE,Validée,0.0,EUR
3617,T000003617,C001334,2026-04-29 16:49:28,Remboursement,46.51,Crédit,P002,A011,TPE,Validée,0.0,EUR
3618,T000003618,C005376,2026-06-15 18:27:02,Paiement carte,-190.17,Débit,P008,A012,Application mobile,Validée,0.0,EUR
3619,T000003619,C003879,2024-04-21 03:39:18,Virement reçu,65.68,Crédit,P001,A014,TPE,Validée,0.0,EUR
3620,T000003620,C004634,2023-12-27 05:23:01,Virement reçu,189.37,Crédit,P001,A013,Application mobile,Validée,0.0,EUR
3621,T000003621,C001690,2023-09-28 02:21:41,Paiement carte,-148.62,Débit,P001,A003,TPE,Validée,0.0,EUR
3622,T000003622,C004378,2023-06-23 18:16:31,Virement reçu,234.24,Crédit,P001,A023,DAB,Validée,0.0,EUR
3623,T000003623,C005228,2023-01-22 23:25:01,Remboursement,196.99,Crédit,P001,A004,Web,Validée,0.0,EUR
3624,T000003624,C001755,2025-06-19 09:52:19,Frais bancaires,-45.0,Débit,P003,A003,Agence,Validée,45.0,EUR
3625,T000003625,C001809,2024-05-21 00:25:21,Retrait DAB,-215.42,Débit,P003,A021,Agence,Validée,0.0,EUR
3626,T000003626,C002150,2026-02-21 02:17:33,Paiement carte,-238.14,Débit,P001,A008,Agence,Validée,0.0,EUR
3627,T000003627,C003231,2024-08-02 00:53:48,Prélèvement,-66.14,Débit,P007,A006,Application mobile,Validée,0.0,EUR
3628,T000003628,C005219,2023-11-11 23:54:07,Frais bancaires,-8.0,Débit,P007,A006,TPE,Rejetée,8.0,EUR
3629,T000003629,C005085,2025-08-06 14:14:22,Paiement carte,-11.03,débit,P007,A001,TPE,Validée,0.0,EUR
3630,T000003630,C003927,2026-05-03 14:50:24,Paiement carte,-66.49,Débit,P005,A018,DAB,Validée,0.0,EUR
3631,T000003631,C001289,2023-11-20 23:07:47,Prélèvement,-57.17,Débit,P001,A005,Application mobile,Rejetée,0.0,EUR
3632,T000003632,C002497,2025-01-25 12:20:39,Prélèvement,-13.64,Débit,P001,A011,Web,Validée,0.0,EUR
3633,T000003633,C005350,2026-06-04 09:55:47,Paiement carte,-57.39,Débit,P001,A022,Web,Validée,0.0,EUR
3634,T000003634,C000674,2025-01-24 16:04:19,Paiement carte,-64.09,Débit,P007,A009,Web,Validée,0.0,EUR
3635,T000003635,C002107,2024-06-12 08:32:39,Paiement carte,-31.69,Débit,P002,A025,DAB,Validée,0.0,EUR
3636,T000003636,C005527,2026-04-29 08:10:12,Paiement carte,-39.66,Débit,P006,A023,Application mobile,Validée,0.0,EUR
3637,T000003637,C001924,2024-02-25 10:55:34,Remboursement,99.59,Crédit,P008,A005,DAB,Validée,0.0,EUR
3638,T000003638,C002425,2023-10-04 10:44:30,Dépôt,127.56,Crédit,P001,A016,Web,Validée,0.0,EUR
3639,T000003639,C002495,2025-11-19 22:38:26,Paiement carte,-21.99,Débit,P009,A002,Application mobile,Validée,0.0,EUR
3640,T000003640,C005803,2025-12-14 16:53:44,Prélèvement,-13.09,Débit,P008,A021,TPE,Validée,0.0,EUR
3641,T000003641,C005796,2024-07-08 01:32:02,Paiement carte,-55.77,Débit,P010,A009,Application mobile,Validée,0.0,EUR
3642,T000003642,C005174,2023-02-23 06:48:59,Prélèvement,-104.84,Débit,P010,A017,Web,Validée,0.0,EUR
3643,T000003643,C004925,2023-07-27 23:49:25,Prélèvement,-34.35,Débit,P001,A019,Application mobile,Validée,0.0,EUR
3644,T000003644,C003154,2025-06-24 05:01:00,Prélèvement,-51.32,Débit,P005,A010,TPE,Validée,0.0,EUR
3645,T000003645,C004016,2024-04-24 01:54:02,Prélèvement,-265.79,Débit,P002,A002,Application mobile,Validée,0.0,EUR
3646,T000003646,C005143,2026-04-24 23:45:22,Paiement carte,-25.97,Débit,P002,A012,TPE,Validée,0.0,EUR
3647,T000003647,C004790,2024-10-24 00:53:47,Virement reçu,212.17,Crédit,P002,A015,Agence,Validée,0.0,EUR
3648,T000003648,C004896,2025-05-01 11:00:18,Paiement carte,-85.46,Débit,P010,A025,Web,Validée,0.0,EUR
3649,T000003649,C003117,2023-02-14 20:30:22,Frais bancaires,-8.0,Débit,P001,A025,Application mobile,Validée,8.0,EUR
3650,T000003650,C005228,2023-09-27 21:21:43,Virement émis,-61.49,Débit,P007,A004,Application mobile,Validée,0.0,EUR
3651,T000003651,C005838,2023-03-01 05:24:51,Paiement carte,-40.92,Débit,P001,A022,Application mobile,Validée,0.0,EUR
3652,T000003652,C005696,2023-02-06 21:37:02,Paiement carte,-166.85,Débit,P001,A010,Application mobile,Validée,0.0,EUR
3653,T000003653,C002195,2023-10-15 14:22:03,Paiement carte,-40.59,Débit,P007,A020,Application mobile,Validée,0.0,EUR
3654,T000003654,C000452,2023-01-13 11:29:24,Virement émis,-55.43,Débit,P003,A005,Application mobile,Validée,0.0,EUR
3655,T000003655,C004293,2025-12-30 23:49:33,Paiement carte,-188.97,Débit,P002,A999,DAB,Validée,0.0,EUR
3656,T000003656,C002789,2024-03-01 14:51:35,Paiement carte,-118.24,Débit,P010,A013,DAB,Validée,0.0,EUR
3657,T000003657,C004084,2026-06-20 17:43:15,Paiement carte,-54.73,Débit,P010,A015,Application mobile,Validée,0.0,EUR
3658,T000003658,C000608,2024-02-20 03:07:07,Paiement carte,-266.35,Débit,P002,A025,Application mobile,Validée,0.0,EUR
3659,T000003659,C002416,2024-02-02 23:35:37,Dépôt,38.26,Crédit,P001,A016,Agence,Validée,0.0,EUR
3660,T000003660,C000744,2023-03-24 12:45:12,Paiement carte,-42.39,Débit,P001,A012,TPE,Validée,0.0,EUR
3661,T000003661,C001721,2023-07-14 01:21:08,Virement reçu,937.3,Crédit,P002,A006,Application mobile,Validée,0.0,EUR
3662,T000003662,C005035,2024-05-24 05:24:42,Paiement carte,-555.79,Débit,P005,A005,Web,Validée,0.0,EUR
3663,T000003663,C004502,2025-11-29 07:04:34,Dépôt,45.32,Crédit,P001,A018,Application mobile,Validée,0.0,EUR
3664,T000003664,C000632,2024-11-27 09:20:19,Dépôt,69.03,Crédit,P002,A014,Web,Validée,0.0,EUR
3665,T000003665,C000424,2025-03-26 11:48:16,Virement reçu,326.66,Crédit,P001,A012,Agence,Validée,0.0,EUR
3666,T000003666,C002826,2024-01-15 16:45:39,Frais bancaires,-30.0,Débit,P003,A021,Web,Rejetée,30.0,EUR
3667,T000003667,C003406,2023-04-05 12:27:01,Remboursement,233.97,Crédit,P002,A025,TPE,Validée,0.0,EUR
3668,T000003668,C002647,2026-03-12 13:24:38,Prélèvement,-2130.62,Débit,P008,A023,Web,Validée,0.0,EUR
3669,T000003669,C000339,2025-07-08 15:13:24,Paiement carte,-10.96,Débit,P007,A001,TPE,Validée,0.0,EUR
3670,T000003670,C005326,2023-08-01 05:17:02,Virement reçu,289.06,Crédit,P002,A021,Application mobile,Rejetée,0.0,EUR
3671,T000003671,C002859,2026-01-01 18:03:42,Paiement carte,-42.23,Débit,P001,A013,Application mobile,Validée,0.0,EUR
3672,T000003672,C005229,2024-04-25 21:07:29,Prélèvement,-158.57,Débit,P001,A022,TPE,Validée,0.0,EUR
3673,T000003673,C003968,2025-07-27 10:42:18,Retrait DAB,-104.18,Débit,P002,A001,TPE,Validée,0.0,EUR
3674,T000003674,C001893,2026-01-20 18:43:07,Paiement carte,-41.3,Débit,P004,A024,Web,Validée,0.0,EUR
3675,T000003675,C003210,2025-05-17 06:54:51,Virement reçu,219.76,Crédit,P004,A020,TPE,Rejetée,0.0,EUR
3676,T000003676,C004838,2024-11-01 18:43:12,Virement émis,-409.08,Débit,P009,A011,Application mobile,Validée,0.0,EUR
3677,T000003677,C000191,2024-01-22 17:40:43,Paiement carte,-112.16,Débit,P007,A025,Web,Validée,0.0,EUR
3678,T000003678,C000378,2023-09-15 19:19:12,Virement émis,-209.9,Débit,P002,A008,TPE,Validée,0.0,EUR
3679,T000003679,C005922,2024-04-02 11:53:33,Remboursement,167.9,Crédit,P005,A016,Application mobile,Validée,0.0,EUR
3680,T000003680,C001007,2023-10-09 18:02:41,Retrait DAB,-139.39,Débit,P001,A002,TPE,Validée,0.0,EUR
3681,T000003681,C003179,2023-07-05 14:12:52,Prélèvement,-47.55,Débit,P004,A007,Web,Validée,0.0,EUR
3682,T000003682,C001311,2026-04-06 20:11:06,Virement reçu,160.86,Crédit,P008,A006,Application mobile,Validée,0.0,EUR
3683,T000003683,C005821,2023-06-06 17:52:09,Frais bancaires,-30.0,Débit,P008,A016,Application mobile,Validée,30.0,EUR
3684,T000003684,C003611,2024-12-07 17:40:32,Prélèvement,-48.83,Débit,P001,A010,Web,Validée,0.0,EUR
3685,T000003685,C005528,2024-03-17 06:19:36,Paiement carte,-163.37,Débit,P010,A021,Application mobile,Validée,0.0,EUR
3686,T000003686,C003576,2024-06-13 07:56:31,Prélèvement,-27.21,Débit,P010,A019,Application mobile,Validée,0.0,EUR
3687,T000003687,C001049,2025-12-12 18:19:56,Paiement carte,-40.28,Débit,P001,A009,Application mobile,Validée,0.0,EUR
3688,T000003688,C000082,2023-10-07 19:18:33,Paiement carte,-122.8,Débit,P002,A024,TPE,Validée,0.0,EUR
3689,T000003689,C000499,2025-05-22 16:33:35,Virement émis,-146.09,Débit,P004,A012,TPE,Validée,0.0,EUR
3690,T000003690,C001113,2025-07-07 07:10:28,Prélèvement,-121.76,Débit,P004,A003,TPE,Validée,0.0,EUR
3691,T000003691,C002596,2024-08-02 11:15:38,Prélèvement,-58.17,Débit,P002,A008,Application mobile,Validée,0.0,EUR
3692,T000003692,C002553,2024-03-05 15:57:28,Paiement carte,-35.16,Débit,P005,A023,Application mobile,Validée,0.0,EUR
3693,T000003693,C003449,2025-05-01 01:09:49,Virement reçu,594.23,Crédit,P001,A017,Application mobile,Validée,0.0,EUR
3694,T000003694,C000708,2024-10-04 08:58:04,Paiement carte,-37.66,Débit,P007,A005,Application mobile,Validée,0.0,EUR
3695,T000003695,C000015,2024-06-05 13:31:34,Virement émis,-206.29,Débit,P002,A008,Application mobile,Validée,0.0,EUR
3696,T000003696,C004639,2023-05-25 20:51:18,Paiement carte,-29.04,Débit,P010,A007,TPE,En attente,0.0,EUR
3697,T000003697,C003756,2025-10-01 09:55:04,Paiement carte,-14.57,Débit,P001,A002,DAB,Validée,0.0,EUR
3698,T000003698,C000153,2024-08-06 09:25:51,Virement reçu,134.09,Crédit,P001,A012,Web,Validée,0.0,EUR
3699,T000003699,C000309,2026-05-26 00:48:23,Paiement carte,-99.23,Débit,P002,A017,DAB,Validée,0.0,EUR
3700,T000003700,C002702,2026-03-08 18:08:58,Paiement carte,-159.24,Débit,P010,A001,TPE,Validée,0.0,EUR
3701,T000003701,C005010,2025-10-06 18:09:00,Virement reçu,160.81,Crédit,P002,A010,Agence,Validée,0.0,EUR
3702,T000003702,C003555,2023-02-04 15:38:46,Paiement carte,-126.73,Débit,P010,A022,DAB,Validée,0.0,EUR
3703,T000003703,C003223,2023-05-09 10:55:24,Paiement carte,-41.13,Débit,P008,A023,TPE,Validée,0.0,EUR
3704,T000003704,C000870,2025-11-27 09:17:36,Prélèvement,-186.79,Débit,P008,A008,Agence,Validée,0.0,EUR
3705,T000003705,C004288,2023-10-13 13:18:25,Paiement carte,-117.94,Débit,P009,A019,Application mobile,Validée,0.0,EUR
3706,T000003706,C001586,2025-03-29 00:15:43,Virement reçu,62.93,Crédit,P001,A002,Application mobile,Validée,0.0,EUR
3707,T000003707,C001137,2023-12-30 22:37:32,Prélèvement,-113.65,Débit,P006,A024,Agence,Validée,0.0,EUR
3708,T000003708,C002727,2025-02-09 04:13:10,Remboursement,360.62,Crédit,P005,A020,Web,Validée,0.0,EUR
3709,T000003709,C003966,2024-05-16 21:18:37,Paiement carte,-23.61,Débit,P001,A008,Application mobile,En attente,0.0,EUR
3710,T000003710,C003550,2024-10-04 17:04:35,Virement reçu,243.39,Crédit,P002,A008,DAB,Validée,0.0,EUR
3711,T000003711,C001021,2026-03-07 22:46:17,Prélèvement,-109.47,Débit,P001,A006,Application mobile,Validée,0.0,EUR
3712,T000003712,C001719,2024-11-17 15:13:09,Paiement carte,-152.12,Débit,P001,A007,TPE,Validée,0.0,EUR
3713,T000003713,C000226,2023-01-15 19:58:38,Paiement carte,-110.88,Débit,P002,A020,Application mobile,Validée,0.0,EUR
3714,T000003714,C005196,2026-03-04 14:06:17,Retrait DAB,-345.08,Débit,P001,A008,TPE,Validée,0.0,EUR
3715,T000003715,C001840,2023-11-10 10:19:42,Virement reçu,289.62,Crédit,P002,A019,TPE,Rejetée,0.0,EUR
3716,T000003716,C002531,2023-02-14 23:36:38,Prélèvement,-129.1,Débit,P002,A017,Agence,Validée,0.0,EUR
3717,T000003717,C003424,2025-11-03 22:36:49,Dépôt,402.73,Crédit,P005,A017,Web,Validée,0.0,EUR
3718,T000003718,C004632,2025-08-13 00:08:41,Prélèvement,-62.48,Débit,P006,A012,Application mobile,Validée,0.0,EUR
3719,T000003719,C002344,2026-03-10 01:42:30,Frais bancaires,-8.0,Débit,P001,A014,Application mobile,Validée,8.0,EUR
3720,T000003720,C003595,2026-03-09 10:39:11,Frais bancaires,-30.0,Débit,P001,A010,Application mobile,Validée,30.0,EUR
3721,T000003721,C004549,2025-03-04 22:50:57,Paiement carte,-176.02,Débit,P003,A025,Application mobile,Validée,0.0,EUR
3722,T000003722,C001725,2024-05-09 15:08:34,Virement reçu,251.25,Crédit,P002,A018,DAB,Validée,0.0,EUR
3723,T000003723,C003910,2026-01-01 15:55:53,Virement reçu,179.51,Crédit,P005,A012,TPE,Validée,0.0,EUR
3724,T000003724,C005798,2024-11-17 01:28:51,Retrait DAB,-67.73,Débit,P004,A005,DAB,Rejetée,0.0,EUR
3725,T000003725,C003299,2023-08-09 16:08:13,Remboursement,250.25,Crédit,P005,A013,Application mobile,Validée,0.0,EUR
3726,T000003726,C002114,2023-11-16 06:57:04,Paiement carte,-53.2,Débit,P001,A019,Application mobile,Validée,0.0,EUR
3727,T000003727,C000182,2023-12-03 16:59:08,Paiement carte,-56.02,débit,P002,A012,Application mobile,Rejetée,0.0,EUR
3728,T000003728,C001412,2023-10-22 05:20:03,Virement reçu,139.29,Crédit,P001,A024,Application mobile,Validée,0.0,EUR
3729,T000003729,C001935,2024-09-23 19:19:26,Virement émis,-167.95,Débit,P003,A023,Application mobile,Validée,0.0,EUR
3730,T000003730,C004758,2025-03-07 15:55:33,Remboursement,138.17,Crédit,P001,A007,TPE,Validée,0.0,EUR
3731,T000003731,C004935,2023-11-11 17:19:28,Retrait DAB,-24.29,Débit,P002,A011,Web,Validée,0.0,EUR
3732,T000003732,C003738,2026-02-14 11:50:05,Frais bancaires,-2.5,Débit,P001,A016,Agence,Rejetée,2.5,EUR
3733,T000003733,C003724,2025-03-11 12:54:22,Paiement carte,-98.22,Débit,P001,A016,TPE,Validée,0.0,EUR
3734,T000003734,C002233,2025-06-01 20:45:50,Virement émis,-32.46,Débit,P002,A014,Application mobile,Validée,0.0,EUR
3735,T000003735,C001689,2024-05-08 13:49:48,Paiement carte,-31.72,Débit,P001,A012,Web,Validée,0.0,EUR
3736,T000003736,C002345,2024-10-22 12:51:29,Prélèvement,-51.89,Débit,,A024,DAB,Validée,0.0,EUR
3737,T000003737,C005676,2024-04-26 17:16:25,Virement reçu,481.86,Crédit,P001,A004,Application mobile,Validée,0.0,EUR
3738,T000003738,C003927,2026-05-06 00:00:55,Virement émis,-33.43,Débit,P001,A018,Web,Validée,0.0,EUR
3739,T000003739,C001800,2025-02-16 15:47:11,Virement émis,-11.67,Débit,P007,A022,Application mobile,Validée,0.0,EUR
3740,T000003740,C001136,2025-11-02 08:10:15,Prélèvement,-104.99,Débit,P001,A022,TPE,Validée,0.0,EUR
3741,T000003741,C000187,2026-01-06 07:45:07,Dépôt,155.64,Crédit,P001,A006,Application mobile,Validée,0.0,EUR
3742,T000003742,C005749,2025-12-17 14:08:08,Virement reçu,107.14,Crédit,P001,A008,Web,Validée,0.0,EUR
3743,T000003743,C005287,2024-06-24 12:04:02,Dépôt,162.8,Crédit,P004,A024,Application mobile,Validée,0.0,EUR
3744,T000003744,C003031,2025-02-07 14:09:01,Paiement carte,-113.65,Débit,P002,A016,Agence,Validée,0.0,EUR
3745,T000003745,C003767,2024-01-02 21:18:11,Virement reçu,417.7,Crédit,P010,A014,Web,Validée,0.0,EUR
3746,T000003746,C003431,2025-11-25 18:37:04,Prélèvement,-43.41,Débit,P001,A019,DAB,Validée,0.0,EUR
3747,T000003747,C001948,2025-09-11 19:57:53,Retrait DAB,-81.53,Débit,P001,A024,Application mobile,Validée,0.0,EUR
3748,T000003748,C003124,2023-05-16 04:32:55,Paiement carte,-313.88,Débit,P001,A010,Application mobile,En attente,0.0,EUR
3749,T000003749,C002221,2025-04-15 05:21:02,Prélèvement,-20.65,Débit,P001,A005,Agence,Validée,0.0,EUR
3750,T000003750,C002874,2025-03-26 02:29:17,Paiement carte,-112.81,Débit,P001,A021,Application mobile,Validée,0.0,EUR
3751,T000003751,C002387,2023-10-26 18:12:10,Paiement carte,-13.25,Débit,P007,A019,Application mobile,Validée,0.0,EUR
3752,T000003752,C003857,2024-05-29 01:02:13,Paiement carte,-124.64,Débit,P001,A010,Web,Validée,0.0,EUR
3753,T000003753,C003554,2023-10-30 12:02:38,Paiement carte,-173.78,Débit,P002,A007,Agence,Validée,0.0,EUR
3754,T000003754,C000601,2026-01-29 08:06:02,Paiement carte,-279.28,Débit,P003,A010,Application mobile,Validée,0.0,EUR
3755,T000003755,C003988,2024-11-17 02:44:25,Paiement carte,-47.88,Débit,P002,A024,DAB,Validée,0.0,EUR
3756,T000003756,C005745,2026-04-16 20:53:44,Virement reçu,349.96,Crédit,P003,A010,Application mobile,Validée,0.0,EUR
3757,T000003757,C001531,2025-08-07 16:28:34,Paiement carte,-337.77,Débit,P007,A008,Agence,Validée,0.0,EUR
3758,T000003758,C001710,2023-04-21 14:31:37,Retrait DAB,-9.14,Débit,P001,A011,Application mobile,Validée,0.0,EUR
3759,T000003759,C000385,2025-08-03 01:19:45,Paiement carte,-97.0,Débit,P001,A006,Web,Validée,0.0,EUR
3760,T000003760,C003928,2025-05-25 07:11:36,Paiement carte,-74.84,Débit,P009,A024,Application mobile,Validée,0.0,EUR
3761,T000003761,C003313,2023-06-30 08:29:47,Retrait DAB,-97.54,Débit,P007,A018,Web,Validée,0.0,EUR
3762,T000003762,C005805,2024-08-26 01:02:33,Virement émis,-16.05,Débit,P004,A017,Web,Validée,0.0,EUR
3763,T000003763,C003003,2023-12-29 05:43:49,Paiement carte,-182.48,Débit,P001,A018,DAB,Validée,0.0,EUR
3764,T000003764,C000736,2023-07-03 20:10:56,Prélèvement,-71.32,Débit,P001,A006,Agence,Validée,0.0,EUR
3765,T000003765,C003578,2024-07-09 01:37:51,Virement reçu,127.61,Crédit,P002,A002,Application mobile,Validée,0.0,EUR
3766,T000003766,C002037,2025-08-12 05:20:47,Virement reçu,1666.8,Crédit,P002,A009,DAB,Validée,0.0,EUR
3767,T000003767,C001755,2025-01-16 22:28:02,Virement reçu,261.75,Crédit,P001,A003,TPE,Validée,0.0,EUR
3768,T000003768,C002788,2024-09-20 16:37:23,Virement reçu,507.6,Crédit,P008,A001,TPE,Validée,0.0,EUR
3769,T000003769,C005087,2023-10-22 17:37:34,Retrait DAB,-62.55,Débit,P004,A001,Application mobile,Validée,0.0,EUR
3770,T000003770,C002708,2025-06-20 16:16:31,Prélèvement,-71.94,Débit,P009,A003,TPE,Validée,0.0,EUR
3771,T000003771,C002625,2023-07-07 16:57:02,Remboursement,1105.46,Crédit,P004,A002,Application mobile,Validée,0.0,EUR
3772,T000003772,C002176,2023-02-28 20:53:58,Paiement carte,-173.84,Débit,P002,A014,Application mobile,Validée,0.0,EUR
3773,T000003773,C003556,2023-12-26 04:15:36,Paiement carte,-25.59,Débit,P002,A006,Application mobile,Validée,0.0,EUR
3774,T000003774,C001024,2024-01-01 13:38:42,Virement reçu,595.02,Crédit,P003,A018,Agence,Validée,0.0,EUR
3775,T000003775,C001130,2025-08-26 00:00:31,Paiement carte,-350.91,Débit,P002,A014,Web,Validée,0.0,EUR
3776,T000003776,C000955,2024-09-29 12:22:21,Paiement carte,-204.41,Débit,P001,A005,Application mobile,Rejetée,0.0,EUR
3777,T000003777,C005092,2024-06-13 17:50:22,Prélèvement,-42.04,Débit,P007,A008,Web,Validée,0.0,EUR
3778,T000003778,C004563,2023-08-09 20:46:52,Paiement carte,-30.13,Débit,P007,A005,TPE,Validée,0.0,EUR
3779,T000003779,C003339,2024-12-04 19:57:36,Paiement carte,-67.95,Débit,P001,A004,Application mobile,Validée,0.0,EUR
3780,T000003780,C005189,2023-06-19 03:38:06,Paiement carte,-217.86,Débit,P008,A021,DAB,Validée,0.0,EUR
3781,T000003781,C000207,2024-11-02 03:51:47,Paiement carte,-47.48,Débit,P004,A019,Agence,Validée,0.0,EUR
3782,T000003782,C000437,2026-05-15 02:30:45,Frais bancaires,-20.0,Débit,P002,A017,TPE,Validée,20.0,EUR
3783,T000003783,C002193,2024-10-14 12:53:47,Paiement carte,-37.49,Débit,P003,A007,Application mobile,Validée,0.0,EUR
3784,T000003784,C001355,2025-07-28 03:10:20,Virement émis,-116.19,Débit,P001,A005,Web,Validée,0.0,EUR
